,,,,,,,,y = 17.996 + 0.8186x,,y = 0.8922x,
,,,,,,,intercept,17.996,,17.996,
,,,,,y,x,slope,0.8186,,0.5,
id,team_name,fruit_id,circumference_in_,pole_to_pole_in_,weight_in_gm,vol_in_ml,,lm1,diff-square,lm2,diff-square
1,Uruguava,1,23.7,24,206,280,,247.20,1698,141.60,4148
2,Uruguava,2,26,22,295,350,,304.51,90,170.25,15563
3,Uruguava,3,23,22,240,200,,181.72,3397,108.85,17199
4,Uruguava,4,20,21,133,170,,157.16,584,96.58,1327
5,chillipilli,1,27.47,26.67,294.67,393.33,,339.98,2053,187.98,11382
6,chillipilli,2,22.8,22.1,177.33,200,,181.72,19,108.85,4689
7,chillipilli,3,19.73,20.07,126.33,121.67,,117.60,76,76.79,2454
8,chillipilli,4,21.17,20.73,142.33,171.67,,158.53,262,97.26,2031
9,chillipilli,5,20.1,19.47,131,118.33,,114.86,260,75.43,3088
10,venezuela,1,27,27,317,315,,275.86,1693,155.92,25946
11,venezuela,2,22.5,22.7,182,195,,177.62,19,106.81,5654
12,venezuela,3,20.5,20.3,126,120,,116.23,95,76.11,2489
13,venezuela,4,20.5,20,136,125,,120.32,246,78.16,3346
14,venezuela,5,19.5,20,134,190,,173.53,1563,104.76,855
15,venezuela,6,21,22,120,183,,167.80,2285,101.90,328
16,Peru,1,27.8,27.5,318,325,,284.04,1153,160.02,24959
17,Peru,2,24.8,23,217,240,,214.46,6,125.23,8422
18,Peru,3,23,23.2,186,200,,181.72,18,108.85,5952
19,Peru,4,21.3,20,141,150,,140.79,0,88.39,2768
20,Peru,5,20.2,21.1,166,180,,165.34,0,100.67,4268
21,guiana,1,30.13,29.33,365,400,,345.44,383,190.71,30376
22,guiana,2,22.5,22.37,172,175,,161.25,116,98.62,5384
23,guiana,3,21.33,21.23,152,170,,157.16,27,96.58,3072
24,guiana,4,21.67,21.13,148,140,,132.60,237,84.30,4058
25,guiana,5,18.77,18,93,100,,99.86,47,67.92,629
26,Peru Peru,1,27.5,27.5,314,350,,304.51,90,170.25,20664
27,Peru Peru,2,19,20,112,120,,116.23,18,76.11,1288
28,Peru Peru,3,18.5,18,93,100,,99.86,47,67.92,629
,,,,,,,,,589,,7606
