id,flight_num,stair_num,height_in_cm,warning_on_stair
1,1,1,15.5,0
2,1,2,15.8,0
3,1,3,15.4,0
4,1,4,15.8,0
5,1,5,15.5,0
6,1,6,15.5,0
7,1,7,15.5,0
8,1,8,15.8,0
9,1,9,16.1,0
10,1,10,15.8,0
11,1,11,16.6,0
12,1,12,16.9,0
13,1,13,16.2,0
14,1,14,16.4,0
15,1,15,16.9,0
16,1,16,16.2,0
17,1,17,16.5,0
18,1,18,16.6,0
19,1,19,16.8,0
20,1,20,16.5,0
21,1,21,16.3,0
22,1,22,16.7,0
23,2,1,16.2,0
24,2,2,16,0
25,2,3,16.1,0
26,2,4,16.1,0
27,2,5,15.7,0
28,2,6,17.5,1
29,2,7,17.3,0
30,2,8,17.2,0
31,2,9,17,0
32,2,10,17,0
33,2,11,17.1,1
34,2,12,16.5,0
35,2,13,16.7,0
36,2,14,16.7,0
37,2,15,16.7,0
38,2,16,16.8,0
39,2,17,16.7,0
40,2,18,16.7,0
41,2,19,16.6,0
42,2,20,16.9,0
43,2,21,16.8,0
44,2,22,13.9,1
45,3,1,17,0
46,3,2,16.7,0
47,3,3,16.6,0
48,3,4,16.5,0
49,3,5,16.3,0
50,3,6,16.4,0
51,3,7,16.4,0
52,3,8,16.4,0
53,3,9,16,0
54,3,10,16.3,0
55,3,11,17,0
56,3,12,19,0
57,3,13,20,1
58,3,14,15.8,1
59,3,15,15.8,1
60,3,16,15.9,0
61,3,17,15.9,0
62,3,18,15.9,0
63,3,19,16,0
64,3,20,16,0
65,3,21,15.9,0
66,3,22,13.8,0
67,4,1,19,0
68,4,2,16.9,0
69,4,3,16.7,0
70,4,4,16.9,0
71,4,5,17.1,0
72,4,6,17.1,0
73,4,7,16.6,0
74,4,8,16.8,0
75,4,9,15.9,0
76,4,10,15.8,0
77,4,11,16.8,0
78,4,12,15.5,0
79,4,13,15.7,0
80,4,14,15.4,0
81,4,15,15.7,0
82,4,16,15.8,0
83,4,17,15.5,0
84,4,18,16.2,0
85,4,19,16.3,0
86,4,20,16,0
87,4,21,16.6,0
88,4,22,21.4,1
89,5,1,15.9,0
90,5,2,16,0
91,5,3,16.1,0
92,5,4,16.3,0
93,5,5,16,0
94,5,6,16.1,0
95,5,7,16.2,0
96,5,8,16.1,0
97,5,9,16.4,0
98,5,10,16.3,0
99,5,11,16.4,0
100,5,12,15.8,0
101,5,13,15.9,0
102,5,14,15.5,0
103,5,15,15.7,0
104,5,16,15.8,0
105,5,17,16.1,0
106,5,18,15.6,0
107,5,19,15.8,0
108,5,20,16,0
109,5,21,15.7,0
110,5,22,15.9,0
