"SUBDIVISION","YEAR","month","rainfall_in_mm"
"ANDAMAN & NICOBAR ISLANDS",1901,"JAN",49.2
"ANDAMAN & NICOBAR ISLANDS",1902,"JAN",0
"ANDAMAN & NICOBAR ISLANDS",1903,"JAN",12.7
"ANDAMAN & NICOBAR ISLANDS",1904,"JAN",9.4
"ANDAMAN & NICOBAR ISLANDS",1905,"JAN",1.3
"ANDAMAN & NICOBAR ISLANDS",1906,"JAN",36.6
"ANDAMAN & NICOBAR ISLANDS",1907,"JAN",110.7
"ANDAMAN & NICOBAR ISLANDS",1908,"JAN",20.9
"ANDAMAN & NICOBAR ISLANDS",1910,"JAN",26.6
"ANDAMAN & NICOBAR ISLANDS",1911,"JAN",0
"ANDAMAN & NICOBAR ISLANDS",1912,"JAN",583.7
"ANDAMAN & NICOBAR ISLANDS",1913,"JAN",84.8
"ANDAMAN & NICOBAR ISLANDS",1914,"JAN",0
"ANDAMAN & NICOBAR ISLANDS",1915,"JAN",45
"ANDAMAN & NICOBAR ISLANDS",1916,"JAN",0
"ANDAMAN & NICOBAR ISLANDS",1917,"JAN",8
"ANDAMAN & NICOBAR ISLANDS",1918,"JAN",77.4
"ANDAMAN & NICOBAR ISLANDS",1919,"JAN",10.2
"ANDAMAN & NICOBAR ISLANDS",1920,"JAN",122.3
"ANDAMAN & NICOBAR ISLANDS",1921,"JAN",13.2
"ANDAMAN & NICOBAR ISLANDS",1922,"JAN",245.3
"ANDAMAN & NICOBAR ISLANDS",1923,"JAN",79.5
"ANDAMAN & NICOBAR ISLANDS",1924,"JAN",28.7
"ANDAMAN & NICOBAR ISLANDS",1925,"JAN",36.6
"ANDAMAN & NICOBAR ISLANDS",1926,"JAN",122.1
"ANDAMAN & NICOBAR ISLANDS",1927,"JAN",3
"ANDAMAN & NICOBAR ISLANDS",1928,"JAN",50.9
"ANDAMAN & NICOBAR ISLANDS",1929,"JAN",74.2
"ANDAMAN & NICOBAR ISLANDS",1930,"JAN",87.4
"ANDAMAN & NICOBAR ISLANDS",1931,"JAN",25.3
"ANDAMAN & NICOBAR ISLANDS",1932,"JAN",2.8
"ANDAMAN & NICOBAR ISLANDS",1933,"JAN",4.5
"ANDAMAN & NICOBAR ISLANDS",1934,"JAN",7.3
"ANDAMAN & NICOBAR ISLANDS",1935,"JAN",6.6
"ANDAMAN & NICOBAR ISLANDS",1936,"JAN",16.5
"ANDAMAN & NICOBAR ISLANDS",1937,"JAN",21.6
"ANDAMAN & NICOBAR ISLANDS",1938,"JAN",13.4
"ANDAMAN & NICOBAR ISLANDS",1939,"JAN",54.1
"ANDAMAN & NICOBAR ISLANDS",1940,"JAN",0.5
"ANDAMAN & NICOBAR ISLANDS",1941,"JAN",0
"ANDAMAN & NICOBAR ISLANDS",1942,"JAN",39.2
"ANDAMAN & NICOBAR ISLANDS",1946,"JAN",84.4
"ANDAMAN & NICOBAR ISLANDS",1947,"JAN",25.1
"ANDAMAN & NICOBAR ISLANDS",1949,"JAN",0
"ANDAMAN & NICOBAR ISLANDS",1950,"JAN",0.8
"ANDAMAN & NICOBAR ISLANDS",1951,"JAN",82.7
"ANDAMAN & NICOBAR ISLANDS",1952,"JAN",0
"ANDAMAN & NICOBAR ISLANDS",1953,"JAN",56
"ANDAMAN & NICOBAR ISLANDS",1954,"JAN",83.8
"ANDAMAN & NICOBAR ISLANDS",1955,"JAN",57.3
"ANDAMAN & NICOBAR ISLANDS",1956,"JAN",49.2
"ANDAMAN & NICOBAR ISLANDS",1957,"JAN",28
"ANDAMAN & NICOBAR ISLANDS",1958,"JAN",22.9
"ANDAMAN & NICOBAR ISLANDS",1959,"JAN",10.1
"ANDAMAN & NICOBAR ISLANDS",1960,"JAN",104.2
"ANDAMAN & NICOBAR ISLANDS",1961,"JAN",82.1
"ANDAMAN & NICOBAR ISLANDS",1962,"JAN",152.4
"ANDAMAN & NICOBAR ISLANDS",1963,"JAN",79.9
"ANDAMAN & NICOBAR ISLANDS",1964,"JAN",65.5
"ANDAMAN & NICOBAR ISLANDS",1965,"JAN",11.8
"ANDAMAN & NICOBAR ISLANDS",1966,"JAN",79.8
